posistion,name,team,stat_total,last_game
o,A. Robinson,WAS,0.16665833374997918,2014081800
o,A.Abdullah,MIN,0.12819399627472067,2019110303
o,A.Alexander,PIT,0.0,2013082905
o,A.Allen,TB,0.11964360889794305,2018083065
o,A.Allison,TB,0.11110055619101837,2011082760
o,A.Alridge,WAS,0.0,2009090355
o,A.Amos,DAL,0.0,2013081700
o,A.Anderson,BUF,0.0,2010090251
o,A.Andrews,TEN,0.4102419380833188,2016110610
o,A.Armah,CAR,0.15788055828719255,2019101300
o,A.Armstrong,CLE,0.05127956755993696,2014082303
o,A.Arnett,DEN,0.0,2010090259
o,A.Arrington,NO,0.12819557883215765,2012011401
o,A.Auclair,TB,0.0,2019110308
o,A.Ayers,NYG,0.0,2017123107
o,A.Ayodele,MIA,0.0,2009111501
o,A.Bachman,LA,0.0,2019081052
o,A.Bailey,WAS,0.0,2012081852
o,A.Barnes,TEN,0.0,2019082953
o,A.Battle,PIT,0.0,2011100900
o,A.Bayer,STL,0.0,2015090362
o,A.Becht,KC,0.18180782076772317,2011122404
o,A.Beck,DEN,0.0,2019100610
o,A.Benn,JAX,0.09522842986601172,2017091005
o,A.Bethea,ARI,0.0,2018101800
o,A.Binns,MIA,0.047614159794759,2014082301
o,A.Blackson,TEN,0.0,2015092003
o,A.Blake,TEN,0.0,2016112004
o,A.Blue,JAX,0.10076512301710565,2019081554
o,A.Blythe,LA,0.0,2017081252
o,A.Boldin,BUF,0.12666431702833708,2017081753
o,A.Bonner,HOU,0.0,2015081552
o,A.Bonnet,CIN,0.0,2016090154
o,A.Bradford,TB,0.13332288944034584,2011100908
o,A.Bradshaw,IND,0.3262315386696824,2015112904
o,A.Brewer,GB,0.0,2012082351
o,A.Brink,HOU,0.0,2009083150
o,A.Brooks,SF,0.0,2013111710
o,A.Brown,TEN,0.36206375323876516,2019110302
o,A.Bryant,TB,0.15383948413442863,2010010310
o,A.Burbridge,SF,0.0,2018081853
o,A.Caldwell,DEN,0.06750739191002826,2016020700
o,A.Callaway,CLE,0.09999703557786033,2019110309
o,A.Capers,CAR,0.0,2016082651
o,A.Carr,NO,0.11110954320573135,2019102707
o,A.Cason,DET,0.0,2009090350
o,A.Castonzo,IND,0.0,2014111611
o,A.Clark,SEA,0.0,2014082204
o,A.Cleveland,NE,0.09522768776819047,2015112911
o,A.Collie,NE,0.14366941608877495,2014011900
o,A.Collins,BAL,0.44185440041654056,2018111801
o,A.Colvin,JAX,0.0,2017091703
o,A.Cooper,DAL,0.15981617052429592,2019102011
o,A.Corp,MIA,0.0,2013081703
o,A.Cromartie,NYJ,0.0,2012120904
o,A.Cross,TB,0.08332454306408768,2018120209
o,A.Crumpler,NE,0.24241830261764832,2011011600
o,A.Cruse,HOU,0.0,2013082912
o,A.Cruz,MIA,0.0,2016082551
o,A.Dable,ATL,0.0,2017083152
o,A.Dalton,CIN,0.6357889012053531,2019102706
o,A.Darboh,SEA,0.0,2017123115
o,A.Darby,PIT,0.0,2015090358
o,A.Davie,CAR,0.0,2009090360
o,A.Davis,SEA,0.2548906042210814,2018083064
o,A.Denham,PHI,0.0,2018083061
o,A.Derby,NO,0.05555146751964718,2019082962
o,A.DiMichele,PHI,0.0,2009082050
o,A.Dixon,BUF,0.2817315338882302,2016010300
o,A.Dobson,ARI,0.09089996727661137,2017082651
o,A.Duke,CAR,0.0,2018083062
o,A.Dulin,IND,0.0,2019082452
o,A.Edds,NYJ,0.0,2014082202
o,A.Edwards,CHI,0.0,2014082204
o,A.Ekeler,LAC,0.25183784116196106,2019110310
o,A.Ellington,TB,0.11521311648979488,2019082956
o,A.Ellis,PHI,0.0833267211377239,2019082963
o,A.Elzy,BUF,0.0,2011082751
o,A.Erickson,CIN,0.01999646264152957,2019102706
o,A.Ervin,DET,0.0,2009081550
o,A.Etta-Tawo,NYG,0.0,2018083060
o,A.Fantuz,CHI,0.0,2011090160
o,A.Fasano,MIA,0.08683371160528426,2017123104
o,A.Feeley,STL,0.10256110985431831,2011120412
o,A.Firkser,TEN,0.1227977051821874,2019102708
o,A.Fort,DEN,0.0,2019080863
o,A.Foster,MIA,0.6487296736091577,2016102305
o,A.Franklin,STL,0.16665833374997918,2014082804
o,A.Froman,ATL,0.0,2011081252
o,A.Fuehne,DET,0.0,2016081253
o,A.Gallik,TEN,0.0,2015110803
o,A.Gates,LAC,0.1719668509010344,2018121300
o,A.Gillett,GB,0.28571020413994086,2014082803
o,A.Gonzalez,IND,0.04761146331092971,2010110100
o,A.Goodley,SEA,0.0,2016081857
o,A.Goodman,DEN,0.0,2011103006
o,A.Gottlieb,ARI,0.11110185243823818,2013082409
o,A.Grant,CIN,0.0,2016082853
o,A.Gray,ATL,0.0,2019081552
o,A.Green,CIN,0.16571819353706946,2018120201
o,A.Gurode,DAL,0.0,2010112501
o,A.Hall,TEN,0.036028403535762844,2012010104
o,A.Hardy,ARI,0.0,2014081606
o,A.Harris,GB,0.06665811181458221,2015110111
o,A.Hawkins,CLE,0.11244001379929387,2017010108
o,A.Helmick,STL,0.0,2013081704
o,A.Hernandez,NE,0.15333253461968402,2013012000
o,A.Hicks,CHI,0.0,2018120207
o,A.Hill,NYJ,0.0,2015081352
o,A.Hollins,MIN,0.0,2019082951
o,A.Holmes,DEN,0.28506770687350313,2018121501
o,A.Hooper,ATL,0.11639792631352973,2019102700
o,A.Humphries,TEN,0.05627347211603339,2019110302
o,A.Hunt,TEN,0.12902033562043771,2019082953
o,A.Hurns,MIA,0.11239792859663644,2019110304
o,A.Ingold,OAK,0.0,2019110307
o,A.Isabella,ARI,0.09523459250432219,2019103100
o,A.Jackson,TEN,0.0,2019091900
o,A.James,OAK,0.0,2019110307
o,A.Janovich,DEN,0.32142198688135915,2019102710
o,A.Jefferson,MIN,0.0,2012120905
o,A.Jeffery,PHI,0.4702364005876129,2019110305
o,A.Jenkins,NO,0.05796144456252262,2018083059
o,A.Jennings,GB,0.0,2018083058
o,A.Johnson,TB,0.3851206969375361,2019082956
o,A.Jones,GB,0.3267850894726519,2019110310
o,A.Judd,GB,0.0,2018081652
o,A.Kamara,NO,0.3036947034456705,2019101303
o,A.Kelly,ATL,0.0,2009081550
o,A.Kimble,NYJ,0.0,2009090351
o,A.Koets,NYG,0.0,2010101008
o,A.Lampkin,WAS,0.0,2019082251
o,A.Lazard,GB,0.18517643925254845,2019102712
o,A.Lee,SF,0.0,2014111606
