name,returns,touchdowns,long,long_touchdown,team,home_team,away_team,is_home_team,game_id
C.Davis,3,0,7,0,TEN,TEN,BUF,True,2009080950
R.Mouton,3,0,33,0,TEN,TEN,BUF,True,2009080950
J.McCourty,2,0,21,0,TEN,TEN,BUF,True,2009080950
B.Hall,5,0,34,0,BUF,TEN,BUF,False,2009080950
C.Hawthorne,3,0,21,0,BUF,TEN,BUF,False,2009080950
M.Wallace,1,0,35,0,PIT,PIT,ARI,True,2009081350
J.Burnett,2,0,13,0,PIT,PIT,ARI,True,2009081350
S.Breaston,1,0,14,0,ARI,PIT,ARI,False,2009081350
M.Garvin,7,0,49,0,ARI,PIT,ARI,False,2009081350
A.Rolle,1,0,4,0,ARI,PIT,ARI,False,2009081350
J.Maclin,6,0,52,0,PHI,PHI,NE,True,2009081351
D.Amendola,2,0,41,0,PHI,PHI,NE,True,2009081351
J.Edelman,2,1,99,0,NE,PHI,NE,False,2009081351
T.Nunn,3,0,22,0,NE,PHI,NE,False,2009081351
M.Slater,3,0,26,0,NE,PHI,NE,False,2009081351
J.Foster,1,0,21,0,BAL,BAL,WAS,True,2009081352
Y.Figurs,1,0,12,0,BAL,BAL,WAS,True,2009081352
C.Carr,3,0,30,0,BAL,BAL,WAS,True,2009081352
L.Webb,2,0,10,0,BAL,BAL,WAS,True,2009081352
R.Cartwright,2,0,22,0,WAS,BAL,WAS,False,2009081352
K.Eloi,2,0,25,0,WAS,BAL,WAS,False,2009081352
D.Dorsey,2,0,21,0,WAS,BAL,WAS,False,2009081352
C.Wilson,1,0,3,0,WAS,BAL,WAS,False,2009081352
M.Hagans,1,0,2,0,WAS,BAL,WAS,False,2009081352
N.Miller,3,0,38,0,OAK,OAK,DAL,True,2009081353
J.Miller,1,0,17,0,OAK,OAK,DAL,True,2009081353
J.Higgins,2,0,8,0,OAK,OAK,DAL,True,2009081353
W.Reid,2,0,2,0,DAL,OAK,DAL,False,2009081353
K.Ogletree,3,0,39,0,DAL,OAK,DAL,False,2009081353
I.Stanback,3,0,27,0,DAL,OAK,DAL,False,2009081353
L.Washington,1,0,24,0,NYJ,NYJ,STL,True,2009081450
D.Woodhead,2,0,25,0,NYJ,NYJ,STL,True,2009081450
D.Lowery,3,0,8,0,NYJ,NYJ,STL,True,2009081450
P.Raymond,1,0,0,0,NYJ,NYJ,STL,True,2009081450
A.Carroll,1,0,22,0,NYJ,NYJ,STL,True,2009081450
E.Smith,1,0,13,0,NYJ,NYJ,STL,True,2009081450
S.Gado,2,0,25,0,STL,NYJ,STL,False,2009081450
K.Darby,1,0,24,0,STL,NYJ,STL,False,2009081450
J.Byers,1,0,22,0,STL,NYJ,STL,False,2009081450
D.Stanley,2,0,11,0,STL,NYJ,STL,False,2009081450
