name,attempts,made,yards,xp_attempt,xp_made,xp_missed,xp_blocked,xp_total,team,home_team,away_team,is_home_team,game_id
R.Bironas,0,0,0,3,3,0,0,3,TEN,TEN,BUF,True,2009080950
R.Lindell,3,3,52,1,1,0,0,1,BUF,TEN,BUF,False,2009080950
P.Czech,2,1,44,2,2,0,0,2,PIT,PIT,ARI,True,2009081350
J.Reed,1,1,50,0,0,0,0,0,PIT,PIT,ARI,True,2009081350
N.Rackers,1,1,29,1,1,0,0,1,ARI,PIT,ARI,False,2009081350
D.Akers,5,4,43,1,1,0,0,1,PHI,PHI,NE,True,2009081351
S.Gostkowski,2,2,49,3,3,0,0,3,NE,PHI,NE,False,2009081351
S.Hauschka,2,2,37,1,1,0,0,1,BAL,BAL,WAS,True,2009081352
G.Gano,2,1,39,1,1,0,0,1,BAL,BAL,WAS,True,2009081352
S.Janikowski,1,1,23,1,1,0,0,1,OAK,OAK,DAL,True,2009081353
R.Schmitt,0,0,0,3,3,0,0,3,OAK,OAK,DAL,True,2009081353
D.Buehler,1,1,39,0,0,0,0,0,DAL,OAK,DAL,False,2009081353
N.Folk,1,0,0,1,1,0,0,1,DAL,OAK,DAL,False,2009081353
J.Feely,2,2,33,2,2,0,0,2,NYJ,NYJ,STL,True,2009081450
JO.Brown,3,3,48,2,2,0,0,2,STL,NYJ,STL,False,2009081450
S.Andrus,2,1,42,0,0,0,0,0,IND,IND,MIN,True,2009081451
R.Longwell,2,2,36,1,1,0,0,1,MIN,IND,MIN,False,2009081451
T.Mehlhaff,1,0,0,0,0,0,0,0,MIN,IND,MIN,False,2009081451
G.Hartley,2,1,54,2,2,0,0,2,NO,NO,CIN,True,2009081452
S.Graham,1,0,0,1,1,0,0,1,CIN,NO,CIN,False,2009081452
A.Romero,1,1,38,1,0,1,0,0,SF,SF,DEN,True,2009081453
M.Prater,1,1,26,1,1,0,0,1,DEN,SF,DEN,False,2009081453
J.Hanson,2,2,47,3,3,0,0,3,DET,DET,ATL,True,2009081550
J.Elam,2,2,46,3,2,1,0,2,ATL,DET,ATL,False,2009081550
R.Lindell,2,2,28,3,3,0,0,3,BUF,BUF,CHI,True,2009081551
R.Gould,2,2,50,2,2,0,0,2,CHI,BUF,CHI,False,2009081551
